x1_init1,x2_init1,u1,comp_time_1,u_bound_1,k1_1,k2_1
1.0,0.0,-5.434941408114838,0.19004607200622559,15.048813503927324,-5.434941408114838,-6.832405469073533
1.0,-0.42772988881863777,-5.986151078387113,0.03576540946960449,15.048813503927324,-9.655722489285786,-8.579179306439844
0.9572270111181362,-0.5138830787509296,-5.931671998924392,0.037659406661987305,15.048813503927324,-11.296577824015355,-9.499665642400593
0.9058387032430433,-0.5182108941904426,-5.982003712948059,0.042464256286621094,15.048813503927324,-12.152568252331342,-9.699261459310785
0.854017613823999,-0.5226047816280566,-6.033602139379882,0.04114341735839844,15.048813503927324,-13.140380102695788,-9.92817919595204
0.8017571356611933,-0.5271049665320025,-6.081874081458288,0.043691396713256836,15.048813503927324,-14.282484832480883,-10.18622549372249
0.7490466390079931,-0.5313539868639675,-6.128262385683877,0.05004596710205078,15.048813503927324,-15.61131689319133,-10.473887843575325
0.6959112403215963,-0.535429648439718,-6.126856575344239,0.03675198554992676,15.048813503927324,-17.001484050805374,-10.65437316439871
0.6423682754776245,-0.5357265773235634,-6.09305372457428,0.035839080810546875,15.048813503927324,-18.359318878572658,-10.640484388280335
0.5887956177452682,-0.5330959858563522,-6.112974326278224,0.043775081634521484,15.048813503927324,-20.097262521205497,-10.730161034124082
0.535486019159633,-0.5344006780637316,-6.058929516005714,0.049452781677246094,15.048813503927324,-22.02518367206698,-10.732112898115009
0.48204595135325984,-0.5302778207160228,-6.024403150165694,0.04333209991455078,15.048813503927324,-24.259647671593587,-10.692247666565876
0.42901816928165754,-0.5271483099896423,-5.955597261480721,0.05088233947753906,15.048813503927324,-26.970757595568166,-10.652311085697356
0.3763033382826933,-0.521420335477497,-5.969561961156391,0.04413127899169922,15.048813503927324,-30.866727956679384,-10.827523260357093
0.3241613047349436,-0.5219465598907577,-5.803497760135438,0.04486203193664551,15.048813503927324,-35.31664054601326,-10.814882119917934
0.27196664874586784,-0.5089299297117348,-5.713558696705346,0.04510760307312012,15.048813503927324,-41.555344996700356,-10.980115126439513
0.22107365577469437,-0.5005500624018843,-5.5275384755428,0.04326057434082031,15.048813503927324,-51.28809443283524,-11.609044718840417
0.17101864953450593,-0.48507228426540683,-4.309051458120734,0.040225982666015625,15.048813503927324,-60.345964276316835,-12.392449645676868
0.12251142110796526,-0.38762957818064253,-3.976505522562359,0.04367661476135254,15.048813503927324,-76.89835131226836,-14.045421412671459
