sample_id,traj_id,k,x1,x2,u_bound,gamma,u,k1,k2,q11,q12,q22,y1,y2,x1_next,x2_next,solve_time
0,0,0,-1.2017215325104018,-0.8970198329823277,1.850146586178358,118.48291795011177,1.6680031732566958,-1.2169641869522834,-0.22914889720857734,2.4322158360415354,-0.697033027611695,3.9932781041048115,-2.8001952178055793,-0.06679104207642116,-1.2914235158086347,0.04156986643706921,0.08657622337341309
1,0,1,-1.2914235158086347,0.04156986643706921,1.850146586178358,72.03586493071201,1.8463715702279258,-1.4347891244151243,-0.15753828023866112,1.7453975400509922,-0.5517263757160475,3.197255260965169,-2.4173593838534595,0.2879209082338933,-1.2872665291649277,0.14946642922064468,0.05248069763183594
2,0,2,-1.2872665291649277,0.14946642922064468,1.850146586178358,69.03285058865812,1.8500920913569403,-1.4555282277392334,-0.1576319083112666,1.6978759342561933,-0.5511302687595862,3.174779778693705,-2.3844306335163377,0.30173906835757835,-1.2723198862428633,0.16054889051185567,0.058577775955200195
3,0,3,-1.2723198862428633,0.16054889051185567,1.850146586178358,66.50247324313193,1.850143853884189,-1.47429016068481,-0.15960767816946597,1.6561008516676186,-0.5449880213212486,3.1378368472908793,-2.3545889180020483,0.3026476238543058,-1.2562649971916777,0.16166121035187125,0.07206034660339355
4,0,4,-1.2562649971916777,0.16166121035187125,1.850146586178358,64.03589467205981,1.8501453978374935,-1.493535712068589,-0.16164198717271486,1.6147176806730232,-0.5380100087230366,3.0979948958671386,-2.3246735140649233,0.3027711102592962,-1.2400988761564906,0.16177256384499789,0.06691789627075195
5,0,5,-1.2400988761564906,0.16177256384499789,1.850146586178358,61.63085895816354,1.8501454859588105,-1.51329256871545,-0.1637294184603908,1.573844020624724,-0.5310000353765827,3.0583535268446935,-2.294746133733985,0.30281596312645687,-1.2239216197719909,0.1617837061294582,0.07899165153503418
6,0,6,-1.2239216197719909,0.1617837061294582,1.850146586178358,59.286832881704626,1.850145455371497,-1.5335790178364295,-0.16586998053890076,1.5334890233210114,-0.523954200922316,3.018416506234845,-2.264818317137322,0.3028604816942461,-1.207743249159045,0.16178481795068267,0.06745481491088867
7,0,7,-1.207743249159045,0.16178481795068267,1.850146586178358,57.003059880428474,1.850145416990508,-1.554416771841147,-0.16806858594433366,1.4936566489987115,-0.5169038986824506,2.9784662263613604,-2.2348896392549698,0.30289748259456867,-1.1915647673639767,0.16178492611222126,0.08213973045349121
8,0,8,-1.1915647673639767,0.16178492611222126,1.850146586178358,54.77875761269906,1.850145374142169,-1.5758283669548998,-0.17032604950406444,1.4543487584907635,-0.5098611144171484,2.9385699776116323,-2.204961399660973,0.30293859182794386,-1.1753862747527546,0.16178493355621082,0.07085800170898438
9,0,9,-1.1753862747527546,0.16178493355621082,1.850146586178358,52.61314121196847,1.8501453273937112,-1.5978375898188906,-0.17264305364831825,1.4155630338392564,-0.5028085115613141,2.8986052836743292,-2.175033429390123,0.3029822727588678,-1.1592077813971335,0.16178493062150615,0.055281639099121094
